scene,method,seed,success,collisions,no_collision,completion_time,min_obs_distance,min_agent_distance,queue_stability,corridor_activation,queue_activation,queue_mode,env_pressure,env_pressure_peak,env_anisotropy,form_anisotropy,tensor_axis_alignment,xi_axis_alignment,mode_entropy,dominant_mode_switches,progress,caution,reshape,spacing,xi_feedback_crowding_mean,xi_feedback_crowding_peak,xi_feedback_slot_order_readiness,xi_feedback_lateral_order_readiness,xi_feedback_forward_room_mean,xi_feedback_obstacle_block_mean,xi_feedback_release_ready,guard_release_signal,queue_guard_decay,directional_release_signal,passage_push_strength,nav_scale,safe_scale,directional_scale,guard_scale,forward_speed_along_axis,magnetic_drive_intent,magnetic_release_intent,magnetic_queue_scale,magnetic_effective_drive,magnetic_transport_release_proxy,spring_chain_storage,spring_head_release,spring_rear_support,spring_link_compression,spring_transport_hold,spring_recover_state,effective_lane_count,entry_flux,entry_flux_peak,risk_load,risk_load_peak,unified_r_peak,unified_r_late,unified_e,unified_e_peak,late_progress,late_caution,late_nav_scale,late_guard_scale,late_forward_speed_along_axis,late_magnetic_drive_intent,late_magnetic_release_intent,late_magnetic_queue_scale,late_magnetic_effective_drive,late_magnetic_transport_release_proxy,late_spring_chain_storage,late_spring_head_release,late_spring_rear_support,late_spring_transport_hold,late_spring_recover_state,late_effective_lane_count,late_entry_flux,late_risk_load,late_xi_feedback_release_ready,late_guard_release_signal,late_queue_guard_decay,late_directional_release_signal,late_passage_push_strength,mode_weight_encircle,mode_weight_corridor,mode_weight_queue,mode_weight_recover,post_exit_available,post_exit_steps,post_exit_agents_past_exit_ratio,post_exit_progress,post_exit_caution,post_exit_nav_scale,post_exit_guard_scale,post_exit_forward_speed_along_axis,post_exit_guard_over_nav_rate,post_exit_caution_over_progress_rate,post_exit_mode_weight_encircle,post_exit_mode_weight_corridor,post_exit_mode_weight_queue,post_exit_mode_weight_recover
s5_dense_tracking_hard,M59,12,0.0,1.0,0.0,75.0,0.7871100188592148,0.4301337619616948,0.9945777777777778,0.924152049492721,0.07142857142857152,0.9279437978303362,0.16528584596293228,0.23803641376922696,0.5085194815389332,0.8785445981442963,0.6065447240973528,1.0,1.2225982584894495,56.0,0.3846886170947713,0.43142805410617535,0.48278808956244995,0.21944998481958947,0.14851584442128407,0.274822058405088,0.24070113566130996,0.5415105885315824,0.48859940662032536,0.5195611645433779,0.39212534553822725,0.2841718563232731,0.8677011521706223,0.27746544511807913,0.021010940743725722,0.6724801453012722,1.1415217028027826,1.06039744571372,1.1206974916507741,0.12800746262282556,0.0,0.0,1.0,0.0,0.0,0.501217871235505,0.18364305515275967,0.28316389965568817,0.5929112415928992,0.5007617051855822,0.027230501767770178,2.1274702262769614,0.12566068889234977,0.7633572490493368,0.5549857102416247,0.713929397082063,1.4180616662992653,0.5996236999439181,0.15240551193997637,0.26470944426914367,0.38255142953584725,0.46751072336292504,0.6626370155825791,1.1212257950945275,0.018269606241276597,0.0,0.0,1.0,0.0,0.0,0.5272399580713812,0.15083506507969177,0.3028127690084596,0.4908016594077869,0.02587943327454824,2.407341318699628,0.05866077718264152,0.5913689616369009,0.3519144721584841,0.2707296646197854,0.8696564523172823,0.2620067826200806,0.020953720296052875,0.05654481933751193,0.37517475075243917,0.2788883654356176,0.2893920644744313,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M59,13,0.0,1.0,0.0,75.0,0.6561582530973677,0.4473953346932917,0.9945333333333334,0.9254493794743466,0.07142857142857152,0.9292475626051238,0.16614427694642164,0.2415764996565275,0.519809065255252,0.851689851414233,0.6051367465007463,1.0,1.219141593308796,32.0,0.3945561077455992,0.4317038087573453,0.48244698907388517,0.2142653802288846,0.1431907938776512,0.27374825020148064,0.2317309214008982,0.5406859187617813,0.5089406200205772,0.5197240469152115,0.39273941908756543,0.2848342482322213,0.8666988230181825,0.2771856764563798,0.021042668142181024,0.6764334606783982,1.1397484543937115,1.0602715259589828,1.1178459591258865,0.13070107677709608,0.0,0.0,1.0,0.0,0.0,0.4984905437636652,0.1891935712894167,0.2792074398138956,0.5946296071668248,0.5091854099693197,0.027544690944317968,2.1024653860949627,0.13433509431071394,0.7607045343578234,0.5560522782640255,0.7004159741205547,1.4379339362463412,0.6574818573165037,0.15234077564451184,0.25885751903814425,0.3986929736063826,0.4672703839915189,0.669689801073518,1.1158040516053627,0.018365343593236293,0.0,0.0,1.0,0.0,0.0,0.5241842888065343,0.1599464501389595,0.2980573961640627,0.4941538512596622,0.02583881283817225,2.4650232203327382,0.07125538219694445,0.6043163022919276,0.36374823319868166,0.27716513393655245,0.8656567946606868,0.26536772839233735,0.021241809866256612,0.05679007251562927,0.3842581670767775,0.27933996292133634,0.2796117974862568,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M59,14,0.0,1.0,0.0,75.0,0.7046489786141241,0.49661406456282825,0.9938666666666667,0.9223346572604492,0.07142857142857152,0.9260984420487429,0.16703534446299687,0.23507829377416084,0.5310315022871861,0.8731080183391629,0.6004178394450681,1.0,1.2186022554259794,24.0,0.3920743784263167,0.4322665255162178,0.48920551253374905,0.21543178549317676,0.14131877835757634,0.26737658662539365,0.22963907639380493,0.5286525855074136,0.5001259276894098,0.5214210001453625,0.3868988492690819,0.2820594623945903,0.8676747442016155,0.27582654705714055,0.021073966459909464,0.6753224275795717,1.1402411037500446,1.063369133191809,1.1184874820212471,0.1244091603615597,0.0,0.0,1.0,0.0,0.0,0.49973692398380865,0.1842461505184711,0.28045567970145213,0.5950159745954374,0.5012494465505508,0.027290685503604577,2.1471894607944,0.13726227125534157,0.806970054025169,0.5488152993478244,0.6887499128953923,1.4689430785465134,0.6122483471866863,0.14852512905630721,0.2519274411928894,0.392125980369846,0.46884254082694965,0.6663387619844117,1.1182171794857396,0.0035568483577827726,0.0,0.0,1.0,0.0,0.0,0.5297675454236679,0.15107380124099035,0.3011616532027789,0.4908317184028063,0.026580681819714912,2.499518497555956,0.12395185063452371,0.5860690024716833,0.3551332486468937,0.2728572198054738,0.8677708014235515,0.2646373377469644,0.021590091350417746,0.05705230625323443,0.3853896443158357,0.2752860898382287,0.2822719595927011,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M59,15,0.0,1.0,0.0,75.0,0.7291818724962291,0.4682817583915106,0.9945333333333334,0.922248330543258,0.07142857142857152,0.9262634043478487,0.16613305809791853,0.23934478421460226,0.5137989747468401,0.8560777022392029,0.6000400954031118,1.0,1.2202030768161258,22.0,0.38782135202855444,0.43333896366175234,0.4827088947025968,0.21964249548724482,0.15152422082744424,0.28757822780720277,0.236112348742912,0.540055110649772,0.49430328845185006,0.5259734716841135,0.3908646079280659,0.28411885319674146,0.8671233320229966,0.27655057166472063,0.02085758525483778,0.672727848445527,1.1418757179697985,1.0605528989823438,1.1208033725179847,0.12014849750190931,0.0,0.0,1.0,0.0,0.0,0.5070433266406545,0.18661333550457132,0.28662808859703887,0.6069739880146685,0.5053377977752456,0.02725620919118615,2.0788939653092005,0.14812141560136236,0.8762091890785939,0.565907978653374,0.7082549861671102,1.4230004898522948,0.6212334646251637,0.15093165820263796,0.2545197610851579,0.39298710588403174,0.46766249793321096,0.6663961923577661,1.1190474259882215,0.011572526552609848,0.0,0.0,1.0,0.0,0.0,0.5312423733623332,0.153316077367319,0.30750808718621797,0.4961000306921908,0.025938753776785034,2.2986864304671393,0.11022118715903445,0.6060871443695439,0.35187904177649776,0.2700587461917495,0.8704533838130986,0.26004622186750626,0.02070564163899328,0.05613143661573912,0.38252403011842945,0.27829156325071336,0.2830529700151181,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M59,16,0.0,1.0,0.0,75.0,0.7734671739921963,0.4664055326291963,0.9946666666666667,0.9251006955440014,0.07142857142857152,0.9289188641733377,0.16627389632141776,0.24088200491938097,0.5160583436766214,0.849628942577095,0.6063748905188747,1.0,1.2213957406860216,46.0,0.3902932432491243,0.43327862753103785,0.48529913550692155,0.21711603228856996,0.14506025732254682,0.2706087201376211,0.2277793299166863,0.5381062066532954,0.49887899479532194,0.5231047040498658,0.38857653634442085,0.2824726751084173,0.8683727405402253,0.27549507928315575,0.02083750510441421,0.6741188442429507,1.1409824054306552,1.0617124737312187,1.1194138177587136,0.12391274255709668,0.0,0.0,1.0,0.0,0.0,0.5051391155007553,0.18580261552792857,0.2845653047294612,0.6032928684925094,0.5043166367175053,0.027262839510552743,2.129651357240348,0.13467900398939678,0.7626864099970732,0.5550251435999465,0.6958436465397311,1.4207861562525406,0.6226748000846658,0.14861929337627466,0.2525225753562823,0.38577975140353754,0.4684238511605898,0.6636272035695282,1.1204715810672161,0.015828323422552894,0.0,0.0,1.0,0.0,0.0,0.5244841829806793,0.15217057302749148,0.29915371403462254,0.4928071172652923,0.025628930708564538,2.410795486447727,0.07023880960749262,0.5780269436008043,0.34540561427053657,0.26716054758340735,0.8715960876111958,0.2583062722018928,0.020619347304281353,0.05735244526701546,0.3807045607873126,0.28014019452393096,0.2818027994217411,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M59,17,0.0,1.0,0.0,75.0,0.673995201955333,0.46598665009466844,0.9950222222222223,0.9206465352045294,0.07142857142857152,0.9242958121779379,0.16106137629317072,0.24186881142778377,0.5119331666759727,0.8542498873456668,0.6398509814914114,1.0,1.2214553005810123,28.0,0.3933673282368371,0.42454761269321273,0.4719267587264122,0.21510331347716416,0.1391948267457558,0.25940177758139865,0.2418166187510257,0.5570055100918642,0.4998529796433502,0.5136054369573944,0.3985456928301621,0.2865047224482957,0.8673915221026051,0.27865664821316133,0.020892125165405614,0.677673934842757,1.1389683016209893,1.0548218026962068,1.1183068224124402,0.13522374428113793,0.0,0.0,1.0,0.0,0.0,0.49447035553737356,0.19061425180656813,0.275396884574643,0.5835574263753908,0.5107628250581246,0.027507182378228842,2.0619334714138033,0.14058744495402342,0.790656875797966,0.5342701133186986,0.6987033121897679,1.5346623760427542,0.6628798755942408,0.15701897751170166,0.2511458896743866,0.38555113653465467,0.46562280971601316,0.6642858865480952,1.1204430244537027,0.019185427551009666,0.0,0.0,1.0,0.0,0.0,0.5163690496240588,0.15413685050964315,0.2914766803138535,0.48993860990323584,0.025380978250530213,2.417874591598308,0.07443632790987387,0.5883905014540864,0.35775309157111757,0.2738507959032131,0.8676070626016257,0.26304268372518036,0.02096150479299445,0.05840637986163948,0.38093727210388656,0.2833174347919725,0.2773389132425014,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M61,10,0.0,1.0,0.0,75.0,0.7066321807026972,0.4813407110452809,0.9950666666666667,0.9247961657707725,0.07142857142857152,0.9283875704550413,0.16278678189473528,0.24133829415676816,0.5034212609227688,0.8194610681674795,0.6199861998459564,1.0,1.2256763292007071,42.0,0.38954329215693495,0.4299684174516594,0.4725712106501241,0.21946696698847723,0.14549089268009832,0.27998175869481684,0.23847527583935788,0.557791537758073,0.4888681419455344,0.5129649737033367,0.39626850541519365,0.28485658449622403,0.8690235380180801,0.2782758344366123,0.020870528134204317,0.6740536285797757,1.141308701063716,1.0556538865377216,1.1207068318436626,0.1266323415535613,0.0,0.0,1.0,0.0,0.0,0.5078200648634605,0.188846102600365,0.2908470200889769,0.6003227209726387,0.513990349832326,0.02814993458292055,2.0835849633694106,0.13401862146424784,0.7953767408627366,0.5553218208696478,0.7077520550154097,1.510618870556273,0.6252427741713723,0.1516885951518321,0.23631165774606333,0.3827720753622446,0.46675267432716766,0.6617460002536929,1.1233078916759731,0.010510710014606057,0.0,0.0,1.0,0.0,0.0,0.5254095438807252,0.15499170133895993,0.30076979063316767,0.4928797767880313,0.02611835484154006,2.4594514198380524,0.07606001960302052,0.5880529303136048,0.35902121186733704,0.2738138224951668,0.8688212333899685,0.2648085753144209,0.02106959305180082,0.059054601385264846,0.3750719987935982,0.2879984103750111,0.2778749894461258,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M61,11,0.0,1.0,0.0,75.0,0.8219555947385508,0.4285700259181658,0.9945333333333334,0.9251846728645066,0.07142857142857152,0.9288033880831071,0.165637844118627,0.24069590038570324,0.5151417817553835,0.855151156627549,0.6044209620591775,1.0,1.222162798334307,78.0,0.38983472700703586,0.433897961299623,0.4860521870300688,0.21780713191450427,0.1483352253966198,0.2775829039566156,0.22425500676307214,0.5406495143364329,0.4999206073778871,0.5227578719957081,0.38874291045116494,0.28235270958575565,0.8687322128296688,0.2754824108784457,0.020858831306048858,0.6736420518525019,1.14131719036502,1.0621132802934934,1.1197939225529776,0.12216016649669377,0.0,0.0,1.0,0.0,0.0,0.508173273112821,0.18491778696702205,0.2882858895073058,0.6076377330864695,0.5060009013363899,0.027503314607282916,2.1160451063572676,0.13873123952305016,0.7204169682142147,0.5585422850478354,0.6978736955288574,1.4587537945408713,0.6286726708884727,0.14865791699891073,0.2497577396065348,0.3828045845381712,0.46969209626625935,0.6618772478245342,1.1217349361129803,0.01419558054725071,0.0,0.0,1.0,0.0,0.0,0.5268549967998828,0.15191006298432572,0.3013172463631803,0.4932928593434329,0.025946815961024914,2.4037445022030535,0.09132473788215714,0.5822196989755045,0.3478345736017659,0.26819814751648335,0.8713465906414275,0.25968157465966235,0.020779274795859393,0.05640539600678782,0.37788703541738417,0.28041946186603783,0.28528810670979016,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M61,12,0.0,1.0,0.0,75.0,0.7871100188592148,0.4301337619616948,0.9945777777777778,0.924152049492721,0.07142857142857152,0.9279437978303362,0.16528584596293228,0.23803641376922696,0.5085194815389332,0.8785445981442963,0.6065447240973528,1.0,1.2225982584894495,56.0,0.3846886170947713,0.43142805410617535,0.48278808956244995,0.21944998481958947,0.14851584442128407,0.274822058405088,0.24070113566130996,0.5415105885315824,0.48859940662032536,0.5195611645433779,0.39212534553822725,0.2841718563232731,0.8677011521706223,0.27746544511807913,0.021010940743725722,0.6724801453012722,1.1415217028027826,1.06039744571372,1.1206974916507741,0.12800746262282556,0.0,0.0,1.0,0.0,0.0,0.501217871235505,0.18364305515275967,0.28316389965568817,0.5929112415928992,0.5007617051855822,0.027230501767770178,2.1274702262769614,0.12566068889234977,0.7633572490493368,0.5549857102416247,0.713929397082063,1.4180616662992653,0.5996236999439181,0.15240551193997637,0.26470944426914367,0.38255142953584725,0.46751072336292504,0.6626370155825791,1.1212257950945275,0.018269606241276597,0.0,0.0,1.0,0.0,0.0,0.5272399580713812,0.15083506507969177,0.3028127690084596,0.4908016594077869,0.02587943327454824,2.407341318699628,0.05866077718264152,0.5913689616369009,0.3519144721584841,0.2707296646197854,0.8696564523172823,0.2620067826200806,0.020953720296052875,0.05654481933751193,0.37517475075243917,0.2788883654356176,0.2893920644744313,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M61,13,0.0,1.0,0.0,75.0,0.6561582530973677,0.4473953346932917,0.9945333333333334,0.9254493794743466,0.07142857142857152,0.9292475626051238,0.16614427694642164,0.2415764996565275,0.519809065255252,0.851689851414233,0.6051367465007463,1.0,1.219141593308796,32.0,0.3945561077455992,0.4317038087573453,0.48244698907388517,0.2142653802288846,0.1431907938776512,0.27374825020148064,0.2317309214008982,0.5406859187617813,0.5089406200205772,0.5197240469152115,0.39273941908756543,0.2848342482322213,0.8666988230181825,0.2771856764563798,0.021042668142181024,0.6764334606783982,1.1397484543937115,1.0602715259589828,1.1178459591258865,0.13070107677709608,0.0,0.0,1.0,0.0,0.0,0.4984905437636652,0.1891935712894167,0.2792074398138956,0.5946296071668248,0.5091854099693197,0.027544690944317968,2.1024653860949627,0.13433509431071394,0.7607045343578234,0.5560522782640255,0.7004159741205547,1.4379339362463412,0.6574818573165037,0.15234077564451184,0.25885751903814425,0.3986929736063826,0.4672703839915189,0.669689801073518,1.1158040516053627,0.018365343593236293,0.0,0.0,1.0,0.0,0.0,0.5241842888065343,0.1599464501389595,0.2980573961640627,0.4941538512596622,0.02583881283817225,2.4650232203327382,0.07125538219694445,0.6043163022919276,0.36374823319868166,0.27716513393655245,0.8656567946606868,0.26536772839233735,0.021241809866256612,0.05679007251562927,0.3842581670767775,0.27933996292133634,0.2796117974862568,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M61,14,0.0,1.0,0.0,75.0,0.7046489786141241,0.49661406456282825,0.9938666666666667,0.9223346572604492,0.07142857142857152,0.9260984420487429,0.16703534446299687,0.23507829377416084,0.5310315022871861,0.8731080183391629,0.6004178394450681,1.0,1.2186022554259794,24.0,0.3920743784263167,0.4322665255162178,0.48920551253374905,0.21543178549317676,0.14131877835757634,0.26737658662539365,0.22963907639380493,0.5286525855074136,0.5001259276894098,0.5214210001453625,0.3868988492690819,0.2820594623945903,0.8676747442016155,0.27582654705714055,0.021073966459909464,0.6753224275795717,1.1402411037500446,1.063369133191809,1.1184874820212471,0.1244091603615597,0.0,0.0,1.0,0.0,0.0,0.49973692398380865,0.1842461505184711,0.28045567970145213,0.5950159745954374,0.5012494465505508,0.027290685503604577,2.1471894607944,0.13726227125534157,0.806970054025169,0.5488152993478244,0.6887499128953923,1.4689430785465134,0.6122483471866863,0.14852512905630721,0.2519274411928894,0.392125980369846,0.46884254082694965,0.6663387619844117,1.1182171794857396,0.0035568483577827726,0.0,0.0,1.0,0.0,0.0,0.5297675454236679,0.15107380124099035,0.3011616532027789,0.4908317184028063,0.026580681819714912,2.499518497555956,0.12395185063452371,0.5860690024716833,0.3551332486468937,0.2728572198054738,0.8677708014235515,0.2646373377469644,0.021590091350417746,0.05705230625323443,0.3853896443158357,0.2752860898382287,0.2822719595927011,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M61,15,0.0,1.0,0.0,75.0,0.7291818724962291,0.4682817583915106,0.9945333333333334,0.922248330543258,0.07142857142857152,0.9262634043478487,0.16613305809791853,0.23934478421460226,0.5137989747468401,0.8560777022392029,0.6000400954031118,1.0,1.2202030768161258,22.0,0.38782135202855444,0.43333896366175234,0.4827088947025968,0.21964249548724482,0.15152422082744424,0.28757822780720277,0.236112348742912,0.540055110649772,0.49430328845185006,0.5259734716841135,0.3908646079280659,0.28411885319674146,0.8671233320229966,0.27655057166472063,0.02085758525483778,0.672727848445527,1.1418757179697985,1.0605528989823438,1.1208033725179847,0.12014849750190931,0.0,0.0,1.0,0.0,0.0,0.5070433266406545,0.18661333550457132,0.28662808859703887,0.6069739880146685,0.5053377977752456,0.02725620919118615,2.0788939653092005,0.14812141560136236,0.8762091890785939,0.565907978653374,0.7082549861671102,1.4230004898522948,0.6212334646251637,0.15093165820263796,0.2545197610851579,0.39298710588403174,0.46766249793321096,0.6663961923577661,1.1190474259882215,0.011572526552609848,0.0,0.0,1.0,0.0,0.0,0.5312423733623332,0.153316077367319,0.30750808718621797,0.4961000306921908,0.025938753776785034,2.2986864304671393,0.11022118715903445,0.6060871443695439,0.35187904177649776,0.2700587461917495,0.8704533838130986,0.26004622186750626,0.02070564163899328,0.05613143661573912,0.38252403011842945,0.27829156325071336,0.2830529700151181,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M61,16,0.0,1.0,0.0,75.0,0.7734671739921963,0.4664055326291963,0.9946666666666667,0.9251006955440014,0.07142857142857152,0.9289188641733377,0.16627389632141776,0.24088200491938097,0.5160583436766214,0.849628942577095,0.6063748905188747,1.0,1.2213957406860216,46.0,0.3902932432491243,0.43327862753103785,0.48529913550692155,0.21711603228856996,0.14506025732254682,0.2706087201376211,0.2277793299166863,0.5381062066532954,0.49887899479532194,0.5231047040498658,0.38857653634442085,0.2824726751084173,0.8683727405402253,0.27549507928315575,0.02083750510441421,0.6741188442429507,1.1409824054306552,1.0617124737312187,1.1194138177587136,0.12391274255709668,0.0,0.0,1.0,0.0,0.0,0.5051391155007553,0.18580261552792857,0.2845653047294612,0.6032928684925094,0.5043166367175053,0.027262839510552743,2.129651357240348,0.13467900398939678,0.7626864099970732,0.5550251435999465,0.6958436465397311,1.4207861562525406,0.6226748000846658,0.14861929337627466,0.2525225753562823,0.38577975140353754,0.4684238511605898,0.6636272035695282,1.1204715810672161,0.015828323422552894,0.0,0.0,1.0,0.0,0.0,0.5244841829806793,0.15217057302749148,0.29915371403462254,0.4928071172652923,0.025628930708564538,2.410795486447727,0.07023880960749262,0.5780269436008043,0.34540561427053657,0.26716054758340735,0.8715960876111958,0.2583062722018928,0.020619347304281353,0.05735244526701546,0.3807045607873126,0.28014019452393096,0.2818027994217411,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M61,17,0.0,1.0,0.0,75.0,0.673995201955333,0.46598665009466844,0.9950222222222223,0.9206465352045294,0.07142857142857152,0.9242958121779379,0.16106137629317072,0.24186881142778377,0.5119331666759727,0.8542498873456668,0.6398509814914114,1.0,1.2214553005810123,28.0,0.3933673282368371,0.42454761269321273,0.4719267587264122,0.21510331347716416,0.1391948267457558,0.25940177758139865,0.2418166187510257,0.5570055100918642,0.4998529796433502,0.5136054369573944,0.3985456928301621,0.2865047224482957,0.8673915221026051,0.27865664821316133,0.020892125165405614,0.677673934842757,1.1389683016209893,1.0548218026962068,1.1183068224124402,0.13522374428113793,0.0,0.0,1.0,0.0,0.0,0.49447035553737356,0.19061425180656813,0.275396884574643,0.5835574263753908,0.5107628250581246,0.027507182378228842,2.0619334714138033,0.14058744495402342,0.790656875797966,0.5342701133186986,0.6987033121897679,1.5346623760427542,0.6628798755942408,0.15701897751170166,0.2511458896743866,0.38555113653465467,0.46562280971601316,0.6642858865480952,1.1204430244537027,0.019185427551009666,0.0,0.0,1.0,0.0,0.0,0.5163690496240588,0.15413685050964315,0.2914766803138535,0.48993860990323584,0.025380978250530213,2.417874591598308,0.07443632790987387,0.5883905014540864,0.35775309157111757,0.2738507959032131,0.8676070626016257,0.26304268372518036,0.02096150479299445,0.05840637986163948,0.38093727210388656,0.2833174347919725,0.2773389132425014,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M62,10,0.0,1.0,0.0,75.0,0.7066321807026972,0.4813407110452809,0.9950666666666667,0.9247961657707725,0.07142857142857152,0.9283875704550413,0.16278678189473528,0.24133829415676816,0.5034212609227688,0.8194610681674795,0.6199861998459564,1.0,1.2256763292007071,42.0,0.38954329215693495,0.4299684174516594,0.4725712106501241,0.21946696698847723,0.14549089268009832,0.27998175869481684,0.23847527583935788,0.557791537758073,0.4888681419455344,0.5129649737033367,0.39626850541519365,0.28485658449622403,0.8690235380180801,0.2782758344366123,0.020870528134204317,0.6740536285797757,1.141308701063716,1.0556538865377216,1.1207068318436626,0.1266323415535613,0.0,0.0,1.0,0.0,0.0,0.5078200648634605,0.188846102600365,0.2908470200889769,0.6003227209726387,0.513990349832326,0.02814993458292055,2.0835849633694106,0.13401862146424784,0.7953767408627366,0.5553218208696478,0.7077520550154097,1.510618870556273,0.6252427741713723,0.1516885951518321,0.23631165774606333,0.3827720753622446,0.46675267432716766,0.6617460002536929,1.1233078916759731,0.010510710014606057,0.0,0.0,1.0,0.0,0.0,0.5254095438807252,0.15499170133895993,0.30076979063316767,0.4928797767880313,0.02611835484154006,2.4594514198380524,0.07606001960302052,0.5880529303136048,0.35902121186733704,0.2738138224951668,0.8688212333899685,0.2648085753144209,0.02106959305180082,0.059054601385264846,0.3750719987935982,0.2879984103750111,0.2778749894461258,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M62,11,0.0,1.0,0.0,75.0,0.8219555947385508,0.4285700259181658,0.9945333333333334,0.9251846728645066,0.07142857142857152,0.9288033880831071,0.165637844118627,0.24069590038570324,0.5151417817553835,0.855151156627549,0.6044209620591775,1.0,1.222162798334307,78.0,0.38983472700703586,0.433897961299623,0.4860521870300688,0.21780713191450427,0.1483352253966198,0.2775829039566156,0.22425500676307214,0.5406495143364329,0.4999206073778871,0.5227578719957081,0.38874291045116494,0.28235270958575565,0.8687322128296688,0.2754824108784457,0.020858831306048858,0.6736420518525019,1.14131719036502,1.0621132802934934,1.1197939225529776,0.12216016649669377,0.0,0.0,1.0,0.0,0.0,0.508173273112821,0.18491778696702205,0.2882858895073058,0.6076377330864695,0.5060009013363899,0.027503314607282916,2.1160451063572676,0.13873123952305016,0.7204169682142147,0.5585422850478354,0.6978736955288574,1.4587537945408713,0.6286726708884727,0.14865791699891073,0.2497577396065348,0.3828045845381712,0.46969209626625935,0.6618772478245342,1.1217349361129803,0.01419558054725071,0.0,0.0,1.0,0.0,0.0,0.5268549967998828,0.15191006298432572,0.3013172463631803,0.4932928593434329,0.025946815961024914,2.4037445022030535,0.09132473788215714,0.5822196989755045,0.3478345736017659,0.26819814751648335,0.8713465906414275,0.25968157465966235,0.020779274795859393,0.05640539600678782,0.37788703541738417,0.28041946186603783,0.28528810670979016,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M62,12,0.0,1.0,0.0,75.0,0.7871100188592148,0.4301337619616948,0.9945777777777778,0.924152049492721,0.07142857142857152,0.9279437978303362,0.16528584596293228,0.23803641376922696,0.5085194815389332,0.8785445981442963,0.6065447240973528,1.0,1.2225982584894495,56.0,0.3846886170947713,0.43142805410617535,0.48278808956244995,0.21944998481958947,0.14851584442128407,0.274822058405088,0.24070113566130996,0.5415105885315824,0.48859940662032536,0.5195611645433779,0.39212534553822725,0.2841718563232731,0.8677011521706223,0.27746544511807913,0.021010940743725722,0.6724801453012722,1.1415217028027826,1.06039744571372,1.1206974916507741,0.12800746262282556,0.0,0.0,1.0,0.0,0.0,0.501217871235505,0.18364305515275967,0.28316389965568817,0.5929112415928992,0.5007617051855822,0.027230501767770178,2.1274702262769614,0.12566068889234977,0.7633572490493368,0.5549857102416247,0.713929397082063,1.4180616662992653,0.5996236999439181,0.15240551193997637,0.26470944426914367,0.38255142953584725,0.46751072336292504,0.6626370155825791,1.1212257950945275,0.018269606241276597,0.0,0.0,1.0,0.0,0.0,0.5272399580713812,0.15083506507969177,0.3028127690084596,0.4908016594077869,0.02587943327454824,2.407341318699628,0.05866077718264152,0.5913689616369009,0.3519144721584841,0.2707296646197854,0.8696564523172823,0.2620067826200806,0.020953720296052875,0.05654481933751193,0.37517475075243917,0.2788883654356176,0.2893920644744313,0.0,0.0,,,,,,,,,,,,
s5_dense_tracking_hard,M62,13,0.0,1.0,0.0,75.0,0.6561582530973677,0.4473953346932917,0.9945333333333334,0.9254493794743466,0.07142857142857152,0.9292475626051238,0.16614427694642164,0.2415764996565275,0.519809065255252,0.851689851414233,0.6051367465007463,1.0,1.219141593308796,32.0,0.3945561077455992,0.4317038087573453,0.48244698907388517,0.2142653802288846,0.1431907938776512,0.27374825020148064,0.2317309214008982,0.5406859187617813,0.5089406200205772,0.5197240469152115,0.39273941908756543,0.2848342482322213,0.8666988230181825,0.2771856764563798,0.021042668142181024,0.6764334606783982,1.1397484543937115,1.0602715259589828,1.1178459591258865,0.13070107677709608,0.0,0.0,1.0,0.0,0.0,0.4984905437636652,0.1891935712894167,0.2792074398138956,0.5946296071668248,0.5091854099693197,0.027544690944317968,2.1024653860949627,0.13433509431071394,0.7607045343578234,0.5560522782640255,0.7004159741205547,1.4379339362463412,0.6574818573165037,0.15234077564451184,0.25885751903814425,0.3986929736063826,0.4672703839915189,0.669689801073518,1.1158040516053627,0.018365343593236293,0.0,0.0,1.0,0.0,0.0,0.5241842888065343,0.1599464501389595,0.2980573961640627,0.4941538512596622,0.02583881283817225,2.4650232203327382,0.07125538219694445,0.6043163022919276,0.36374823319868166,0.27716513393655245,0.8656567946606868,0.26536772839233735,0.021241809866256612,0.05679007251562927,0.3842581670767775,0.27933996292133634,0.2796117974862568,0.0,0.0,,,,,,,,,,,,
